user_ref,event_ts,step_index,behavior_type,category_slug,product_id,price_bucket,device_type,search_query,session_id,target_next_category_slug
user_0001,2026-01-09T03:48:00Z,1,search,ultrabooks,0,unknown,mobile,ultrabook for consulting work,user_0001_sess_01,ultrabooks
user_0001,2026-01-09T03:56:05Z,2,view_product,ultrabooks,23,1000_2000,mobile,,user_0001_sess_01,ultrabooks
user_0001,2026-01-09T04:04:15Z,3,add_to_cart,ultrabooks,23,1000_2000,mobile,,user_0001_sess_01,ultrabooks
user_0001,2026-01-09T04:07:43Z,4,checkout,ultrabooks,23,1000_2000,mobile,,user_0001_sess_01,ultrabooks
user_0001,2026-01-09T04:14:14Z,5,pay_order,ultrabooks,23,1000_2000,mobile,,user_0001_sess_01,
user_0001,2026-01-17T09:13:00Z,1,search,bags-stands,0,unknown,tablet,best pouch budget,user_0001_sess_02,bags-stands
user_0001,2026-01-17T09:21:40Z,2,view_product,bags-stands,96,under_500,tablet,,user_0001_sess_02,bags-stands
user_0001,2026-01-17T09:26:16Z,3,add_to_cart,bags-stands,96,under_500,tablet,,user_0001_sess_02,bags-stands
user_0001,2026-01-17T09:28:29Z,4,checkout,bags-stands,96,under_500,tablet,,user_0001_sess_02,bags-stands
user_0001,2026-01-17T09:31:29Z,5,pay_order,bags-stands,96,under_500,tablet,,user_0001_sess_02,
user_0001,2026-01-25T16:21:00Z,1,search,audio,0,unknown,mobile,microphone for focus at work,user_0001_sess_03,audio
user_0001,2026-01-25T16:27:41Z,2,view_product,audio,69,under_500,mobile,,user_0001_sess_03,audio
user_0001,2026-01-25T16:35:18Z,3,save_item,audio,69,under_500,mobile,,user_0001_sess_03,
user_0001,2026-02-03T18:03:00Z,1,search,ultrabooks,0,unknown,desktop,premium portable laptop,user_0001_sess_04,ultrabooks
user_0001,2026-02-03T18:10:43Z,2,view_product,ultrabooks,26,1000_2000,desktop,,user_0001_sess_04,ultrabooks
user_0001,2026-02-03T18:14:13Z,3,add_to_cart,ultrabooks,26,1000_2000,desktop,,user_0001_sess_04,ultrabooks
user_0001,2026-02-03T18:20:39Z,4,checkout,ultrabooks,26,1000_2000,desktop,,user_0001_sess_04,ultrabooks
user_0001,2026-02-03T18:28:11Z,5,pay_order,ultrabooks,26,1000_2000,desktop,,user_0001_sess_04,
user_0001,2026-02-08T00:55:00Z,1,search,ultrabooks,0,unknown,desktop,ultrabook for coffee shop writing,user_0001_sess_05,ultrabooks
user_0001,2026-02-08T01:03:36Z,2,view_product,ultrabooks,30,1000_2000,desktop,,user_0001_sess_05,ultrabooks
user_0001,2026-02-08T01:08:14Z,3,compare_item,ultrabooks,29,1000_2000,desktop,,user_0001_sess_05,
user_0001,2026-02-17T05:13:00Z,1,search,ultrabooks,0,unknown,desktop,Lenovo ultrabook for daily travel,user_0001_sess_06,ultrabooks
user_0001,2026-02-17T05:20:44Z,2,view_product,ultrabooks,25,1000_2000,desktop,,user_0001_sess_06,ultrabooks
user_0001,2026-02-17T05:23:07Z,3,save_item,ultrabooks,25,1000_2000,desktop,,user_0001_sess_06,
user_0001,2026-02-24T10:34:00Z,1,search,bags-stands,0,unknown,mobile,best tui under 500,user_0001_sess_07,bags-stands
user_0001,2026-02-24T10:40:35Z,2,view_product,bags-stands,94,under_500,mobile,,user_0001_sess_07,bags-stands
user_0001,2026-02-24T10:46:43Z,3,save_item,bags-stands,94,under_500,mobile,,user_0001_sess_07,
user_0002,2026-01-07T03:35:00Z,1,search,audio,0,unknown,desktop,value pick mic,user_0002_sess_01,audio
user_0002,2026-01-07T03:37:27Z,2,view_product,audio,66,under_500,desktop,,user_0002_sess_01,audio
user_0002,2026-01-07T03:43:38Z,3,save_item,audio,66,under_500,desktop,,user_0002_sess_01,
user_0002,2026-01-12T10:08:00Z,1,search,gaming-laptops,0,unknown,desktop,Razer streaming laptop for streaming setup,user_0002_sess_02,gaming-laptops
user_0002,2026-01-12T10:10:40Z,2,view_product,gaming-laptops,16,above_2000,desktop,,user_0002_sess_02,gaming-laptops
user_0002,2026-01-12T10:13:12Z,3,chatbot_ask,gaming-laptops,16,above_2000,desktop,Can you compare BladeRunner 14 with similar gaming laptops?,user_0002_sess_02,
user_0002,2026-01-14T11:47:00Z,1,search,audio,0,unknown,desktop,Apple audio for video calls,user_0002_sess_03,audio
user_0002,2026-01-14T11:48:42Z,2,view_product,audio,63,under_500,desktop,,user_0002_sess_03,audio
user_0002,2026-01-14T11:49:48Z,3,add_to_cart,audio,63,under_500,desktop,,user_0002_sess_03,audio
user_0002,2026-01-14T11:54:13Z,4,checkout,audio,63,under_500,desktop,,user_0002_sess_03,audio
user_0002,2026-01-14T11:55:22Z,5,pay_order,audio,63,under_500,desktop,,user_0002_sess_03,
user_0002,2026-01-19T14:46:00Z,1,search,audio,0,unknown,desktop,budget loa,user_0002_sess_04,audio
user_0002,2026-01-19T14:53:20Z,2,view_product,audio,66,under_500,desktop,,user_0002_sess_04,audio
user_0002,2026-01-19T14:57:36Z,3,add_to_cart,audio,66,under_500,desktop,,user_0002_sess_04,audio
user_0002,2026-01-19T15:03:10Z,4,checkout,audio,66,under_500,desktop,,user_0002_sess_04,audio
user_0002,2026-01-19T15:10:53Z,5,pay_order,audio,66,under_500,desktop,,user_0002_sess_04,
user_0002,2026-01-23T21:11:00Z,1,search,gaming-laptops,0,unknown,desktop,best gaming laptop high performance,user_0002_sess_05,gaming-laptops
user_0002,2026-01-23T21:14:19Z,2,view_product,gaming-laptops,19,1000_2000,desktop,,user_0002_sess_05,gaming-laptops
user_0002,2026-01-23T21:16:45Z,3,add_to_cart,gaming-laptops,19,1000_2000,desktop,,user_0002_sess_05,gaming-laptops
user_0002,2026-01-23T21:23:48Z,4,checkout,gaming-laptops,19,1000_2000,desktop,,user_0002_sess_05,gaming-laptops
user_0002,2026-01-23T21:25:02Z,5,pay_order,gaming-laptops,19,1000_2000,desktop,,user_0002_sess_05,
user_0002,2026-02-02T03:33:00Z,1,search,gaming-laptops,0,unknown,desktop,laptop gaming for esports travel,user_0002_sess_06,gaming-laptops
user_0002,2026-02-02T03:38:24Z,2,view_product,gaming-laptops,20,above_2000,desktop,,user_0002_sess_06,gaming-laptops
user_0002,2026-02-02T03:40:35Z,3,compare_item,gaming-laptops,11,1000_2000,desktop,,user_0002_sess_06,
user_0003,2026-01-10T10:19:00Z,1,search,audio,0,unknown,desktop,best mic value pick,user_0003_sess_01,audio
user_0003,2026-01-10T10:27:37Z,2,view_product,audio,69,under_500,desktop,,user_0003_sess_01,audio
user_0003,2026-01-10T10:34:13Z,3,chatbot_ask,audio,69,under_500,desktop,Can you compare Studio Monitor One with similar audio?,user_0003_sess_01,
user_0003,2026-01-13T10:38:00Z,1,search,audio,0,unknown,unknown,value pick mic,user_0003_sess_02,audio
user_0003,2026-01-13T10:43:16Z,2,view_product,audio,67,under_500,unknown,,user_0003_sess_02,audio
user_0003,2026-01-13T10:51:29Z,3,add_to_cart,audio,67,under_500,unknown,,user_0003_sess_02,audio
user_0003,2026-01-13T10:52:45Z,4,checkout,audio,67,under_500,unknown,,user_0003_sess_02,audio
user_0003,2026-01-13T10:57:10Z,5,pay_order,audio,67,under_500,unknown,,user_0003_sess_02,
user_0003,2026-01-20T12:43:00Z,1,search,gaming-laptops,0,unknown,desktop,premium laptop gaming,user_0003_sess_03,gaming-laptops
user_0003,2026-01-20T12:45:38Z,2,search,gaming-laptops,0,unknown,desktop,premium laptop gaming sale,user_0003_sess_03,gaming-laptops
user_0003,2026-01-20T12:48:15Z,3,view_product,gaming-laptops,11,1000_2000,desktop,,user_0003_sess_03,gaming-laptops
user_0003,2026-01-20T12:50:45Z,4,compare_item,gaming-laptops,17,1000_2000,desktop,,user_0003_sess_03,
user_0003,2026-01-29T19:28:00Z,1,search,gaming-laptops,0,unknown,desktop,ASUS gpu laptop for esports travel,user_0003_sess_04,gaming-laptops
user_0003,2026-01-29T19:32:25Z,2,view_product,gaming-laptops,13,1000_2000,desktop,,user_0003_sess_04,gaming-laptops
user_0003,2026-01-29T19:35:07Z,3,add_to_cart,gaming-laptops,13,1000_2000,desktop,,user_0003_sess_04,gaming-laptops
user_0003,2026-01-29T19:42:18Z,4,checkout,gaming-laptops,13,1000_2000,desktop,,user_0003_sess_04,gaming-laptops
user_0003,2026-01-29T19:49:51Z,5,pay_order,gaming-laptops,13,1000_2000,desktop,,user_0003_sess_04,
user_0004,2026-01-12T05:22:00Z,1,search,gaming-laptops,0,unknown,desktop,above 2000 choi game,user_0004_sess_01,gaming-laptops
user_0004,2026-01-12T05:24:24Z,2,view_product,gaming-laptops,18,above_2000,desktop,,user_0004_sess_01,gaming-laptops
user_0004,2026-01-12T05:25:46Z,3,chatbot_ask,gaming-laptops,18,above_2000,desktop,Would Nebula Core 17 work well for video editing and travel?,user_0004_sess_01,
user_0004,2026-01-18T06:58:00Z,1,search,audio,0,unknown,mobile,under 500 microphone,user_0004_sess_02,audio
user_0004,2026-01-18T07:02:07Z,2,view_product,audio,69,under_500,mobile,,user_0004_sess_02,audio
user_0004,2026-01-18T07:08:23Z,3,add_to_cart,audio,69,under_500,mobile,,user_0004_sess_02,audio
user_0004,2026-01-18T07:12:46Z,4,checkout,audio,69,under_500,mobile,,user_0004_sess_02,audio
user_0004,2026-01-18T07:14:31Z,5,pay_order,audio,69,under_500,mobile,,user_0004_sess_02,
user_0004,2026-01-23T08:47:00Z,1,search,tablets,0,unknown,desktop,ipad for study sessions,user_0004_sess_03,tablets
user_0004,2026-01-23T08:50:20Z,2,view_product,tablets,49,1000_2000,desktop,,user_0004_sess_03,tablets
user_0004,2026-01-23T08:58:46Z,3,save_item,tablets,49,1000_2000,desktop,,user_0004_sess_03,
user_0004,2026-01-25T15:32:00Z,1,search,chargers-cables,0,unknown,mobile,value pick cable,user_0004_sess_04,chargers-cables
user_0004,2026-01-25T15:38:19Z,2,view_product,chargers-cables,87,under_500,mobile,,user_0004_sess_04,chargers-cables
user_0004,2026-01-25T15:40:19Z,3,save_item,chargers-cables,87,under_500,mobile,,user_0004_sess_04,
user_0004,2026-01-27T17:01:00Z,1,search,gaming-laptops,0,unknown,desktop,premium gpu laptop,user_0004_sess_05,gaming-laptops
user_0004,2026-01-27T17:04:37Z,2,view_product,gaming-laptops,17,1000_2000,desktop,,user_0004_sess_05,gaming-laptops
user_0004,2026-01-27T17:07:16Z,3,add_to_cart,gaming-laptops,17,1000_2000,desktop,,user_0004_sess_05,gaming-laptops
user_0004,2026-01-27T17:11:33Z,4,checkout,gaming-laptops,17,1000_2000,desktop,,user_0004_sess_05,gaming-laptops
user_0004,2026-01-27T17:14:05Z,5,pay_order,gaming-laptops,17,1000_2000,desktop,,user_0004_sess_05,
user_0005,2026-01-14T09:55:00Z,1,search,smartphones,0,unknown,desktop,around 800 iphone,user_0005_sess_01,smartphones
user_0005,2026-01-14T09:56:29Z,2,view_product,smartphones,33,500_1000,desktop,,user_0005_sess_01,smartphones
user_0005,2026-01-14T10:04:06Z,3,chatbot_ask,smartphones,33,500_1000,desktop,Is Galaxy Orbit S a good pick for battery life?,user_0005_sess_01,
user_0005,2026-01-21T14:01:00Z,1,search,smartphones,0,unknown,tablet,around 1500 dien thoai,user_0005_sess_02,smartphones
user_0005,2026-01-21T14:04:29Z,2,view_product,smartphones,31,1000_2000,tablet,,user_0005_sess_02,smartphones
user_0005,2026-01-21T14:05:57Z,3,compare_item,smartphones,35,500_1000,tablet,,user_0005_sess_02,
user_0005,2026-01-25T18:40:00Z,1,search,smartwatches,0,unknown,mobile,Garmin smartwatch for running metrics,user_0005_sess_03,smartwatches
user_0005,2026-01-25T18:41:32Z,2,view_product,smartwatches,57,500_1000,mobile,,user_0005_sess_03,smartwatches
user_0005,2026-01-25T18:48:37Z,3,add_to_cart,smartwatches,57,500_1000,mobile,,user_0005_sess_03,smartwatches
user_0005,2026-01-25T18:54:50Z,4,checkout,smartwatches,57,500_1000,mobile,,user_0005_sess_03,smartwatches
user_0005,2026-01-25T19:00:19Z,5,pay_order,smartwatches,57,500_1000,mobile,,user_0005_sess_03,
user_0005,2026-01-28T20:46:00Z,1,search,smartphones,0,unknown,mobile,premium iphone,user_0005_sess_04,smartphones
user_0005,2026-01-28T20:47:00Z,2,view_product,smartphones,31,1000_2000,mobile,,user_0005_sess_04,smartphones
user_0005,2026-01-28T20:50:31Z,3,save_item,smartphones,31,1000_2000,mobile,,user_0005_sess_04,
user_0005,2026-02-01T02:10:00Z,1,search,smartphones,0,unknown,mobile,Samsung ios for creator content,user_0005_sess_05,smartphones
user_0005,2026-02-01T02:17:31Z,2,view_product,smartphones,33,500_1000,mobile,,user_0005_sess_05,smartphones
user_0005,2026-02-01T02:24:38Z,3,save_item,smartphones,33,500_1000,mobile,,user_0005_sess_05,
user_0006,2026-01-14T08:40:00Z,1,search,smartwatches,0,unknown,mobile,best wearable value pick,user_0006_sess_01,smartwatches
user_0006,2026-01-14T08:47:12Z,2,view_product,smartwatches,58,under_500,mobile,,user_0006_sess_01,smartwatches
user_0006,2026-01-14T08:48:18Z,3,chatbot_ask,smartwatches,58,under_500,mobile,Would Amaz Track Air work well for running metrics and travel?,user_0006_sess_01,
user_0006,2026-01-22T11:21:00Z,1,search,business-laptops,0,unknown,desktop,best corporate laptop premium,user_0006_sess_02,business-laptops
user_0006,2026-01-22T11:25:03Z,2,view_product,business-laptops,10,1000_2000,desktop,,user_0006_sess_02,business-laptops
user_0006,2026-01-22T11:28:26Z,3,view_product,business-laptops,1,1000_2000,desktop,,user_0006_sess_02,business-laptops
user_0006,2026-01-22T11:33:43Z,4,save_item,business-laptops,10,1000_2000,desktop,,user_0006_sess_02,
user_0006,2026-01-28T17:08:00Z,1,search,ultrabooks,0,unknown,desktop,thin laptop for light office work,user_0006_sess_03,ultrabooks
user_0006,2026-01-28T17:09:10Z,2,view_product,ultrabooks,21,500_1000,desktop,,user_0006_sess_03,ultrabooks
user_0006,2026-01-28T17:14:37Z,3,view_product,ultrabooks,28,1000_2000,desktop,,user_0006_sess_03,ultrabooks
user_0006,2026-01-28T17:22:39Z,4,chatbot_ask,ultrabooks,21,500_1000,desktop,Can you compare AirLite 13 with similar ultrabooks?,user_0006_sess_03,
user_0006,2026-02-01T17:57:00Z,1,search,bags-stands,0,unknown,desktop,Twelve South bag for business travel,user_0006_sess_04,bags-stands
user_0006,2026-02-01T17:59:11Z,2,search,bags-stands,0,unknown,desktop,Twelve South bag for business travel battery,user_0006_sess_04,bags-stands
user_0006,2026-02-01T18:07:39Z,3,view_product,bags-stands,95,under_500,desktop,,user_0006_sess_04,bags-stands
user_0006,2026-02-01T18:10:06Z,4,chatbot_ask,bags-stands,95,under_500,desktop,Would LiftStand Fold work well for device protection and travel?,user_0006_sess_04,
user_0006,2026-02-06T22:11:00Z,1,search,smartwatches,0,unknown,mobile,mid range smartwatch,user_0006_sess_05,smartwatches
user_0006,2026-02-06T22:18:39Z,2,view_product,smartwatches,57,500_1000,mobile,,user_0006_sess_05,smartwatches
user_0006,2026-02-06T22:23:40Z,3,add_to_cart,smartwatches,57,500_1000,mobile,,user_0006_sess_05,smartwatches
user_0006,2026-02-06T22:32:10Z,4,checkout,smartwatches,57,500_1000,mobile,,user_0006_sess_05,smartwatches
user_0006,2026-02-06T22:33:49Z,5,pay_order,smartwatches,57,500_1000,mobile,,user_0006_sess_05,
user_0006,2026-02-16T02:48:00Z,1,search,smartphones,0,unknown,desktop,Xiaomi android for battery life,user_0006_sess_06,smartphones
user_0006,2026-02-16T02:51:12Z,2,search,smartphones,0,unknown,desktop,Xiaomi android for battery life battery,user_0006_sess_06,smartphones
user_0006,2026-02-16T02:56:28Z,3,view_product,smartphones,40,500_1000,desktop,,user_0006_sess_06,smartphones
user_0006,2026-02-16T03:03:29Z,4,view_product,smartphones,34,1000_2000,desktop,,user_0006_sess_06,smartphones
user_0006,2026-02-16T03:05:02Z,5,compare_item,smartphones,34,1000_2000,desktop,,user_0006_sess_06,
user_0007,2026-01-14T09:22:00Z,1,search,ultrabooks,0,unknown,desktop,Acer ultrabook for daily travel,user_0007_sess_01,ultrabooks
user_0007,2026-01-14T09:29:07Z,2,search,ultrabooks,0,unknown,desktop,Acer ultrabook for daily travel sale,user_0007_sess_01,ultrabooks
user_0007,2026-01-14T09:35:09Z,3,view_product,ultrabooks,27,500_1000,desktop,,user_0007_sess_01,ultrabooks
user_0007,2026-01-14T09:42:09Z,4,add_to_cart,ultrabooks,27,500_1000,desktop,,user_0007_sess_01,ultrabooks
user_0007,2026-01-14T09:48:14Z,5,checkout,ultrabooks,27,500_1000,desktop,,user_0007_sess_01,ultrabooks
user_0007,2026-01-14T09:49:26Z,6,pay_order,ultrabooks,27,500_1000,desktop,,user_0007_sess_01,
user_0007,2026-01-19T15:17:00Z,1,search,ultrabooks,0,unknown,unknown,nhe for daily travel,user_0007_sess_02,ultrabooks
user_0007,2026-01-19T15:24:10Z,2,view_product,ultrabooks,25,1000_2000,unknown,,user_0007_sess_02,ultrabooks
user_0007,2026-01-19T15:31:49Z,3,chatbot_ask,ultrabooks,25,1000_2000,unknown,Would ZenMotion 13 work well for coffee shop writing and travel?,user_0007_sess_02,
user_0007,2026-01-22T18:12:00Z,1,search,gaming-laptops,0,unknown,desktop,choi game for video editing,user_0007_sess_03,gaming-laptops
user_0007,2026-01-22T18:18:41Z,2,search,gaming-laptops,0,unknown,desktop,choi game for video editing battery,user_0007_sess_03,gaming-laptops
user_0007,2026-01-22T18:26:11Z,3,view_product,gaming-laptops,16,above_2000,desktop,,user_0007_sess_03,gaming-laptops
